2025-08-10 06:44:21,669 - Rank 1 - Starting training on rank 1
2025-08-10 06:58:59,436 - Rank 1 - Starting training
2025-08-10 06:59:20,075 - Rank 1 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,033 - Rank 1 - Train Loss: 1.6589, Train Accuracy: 0.4855
2025-08-10 07:02:04,877 - Rank 1 - Validation Loss: 1.3360, Validation Accuracy: 0.5513
2025-08-10 07:04:16,131 - Rank 1 - Starting training
2025-08-10 07:04:37,678 - Rank 1 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,017 - Rank 1 - Train Loss: 1.6589, Train Accuracy: 0.4854
2025-08-10 07:07:07,417 - Rank 1 - Validation Loss: 1.3362, Validation Accuracy: 0.5513
2025-08-10 07:09:22,907 - Rank 1 - Train Loss: 1.2882, Train Accuracy: 0.5608
2025-08-10 07:09:33,756 - Rank 1 - Validation Loss: 1.2126, Validation Accuracy: 0.5773
2025-08-10 07:12:04,853 - Rank 1 - Train Loss: 1.1892, Train Accuracy: 0.5853
2025-08-10 07:12:15,523 - Rank 1 - Validation Loss: 1.1455, Validation Accuracy: 0.5961
2025-08-10 07:14:45,591 - Rank 1 - Train Loss: 1.1230, Train Accuracy: 0.6028
2025-08-10 07:14:56,568 - Rank 1 - Validation Loss: 1.0898, Validation Accuracy: 0.6106
2025-08-10 07:17:26,312 - Rank 1 - Train Loss: 1.0745, Train Accuracy: 0.6162
2025-08-10 07:17:38,326 - Rank 1 - Validation Loss: 1.0291, Validation Accuracy: 0.6286
2025-08-10 07:20:10,870 - Rank 1 - Train Loss: 1.0325, Train Accuracy: 0.6278
2025-08-10 07:20:23,308 - Rank 1 - Validation Loss: 0.9939, Validation Accuracy: 0.6390
2025-08-10 07:23:00,472 - Rank 1 - Train Loss: 0.9984, Train Accuracy: 0.6369
2025-08-10 07:23:14,820 - Rank 1 - Validation Loss: 0.9500, Validation Accuracy: 0.6520
2025-08-10 07:26:16,571 - Rank 1 - Train Loss: 0.9675, Train Accuracy: 0.6462
2025-08-10 07:26:30,666 - Rank 1 - Validation Loss: 0.9194, Validation Accuracy: 0.6627
2025-08-10 07:29:30,751 - Rank 1 - Train Loss: 0.9375, Train Accuracy: 0.6557
2025-08-10 07:29:44,861 - Rank 1 - Validation Loss: 0.8859, Validation Accuracy: 0.6731
2025-08-10 07:32:29,074 - Rank 1 - Train Loss: 0.9158, Train Accuracy: 0.6625
2025-08-10 07:32:38,243 - Rank 1 - Validation Loss: 0.8904, Validation Accuracy: 0.6712
2025-08-10 07:34:47,492 - Rank 1 - Train Loss: 0.8946, Train Accuracy: 0.6694
2025-08-10 07:34:57,173 - Rank 1 - Validation Loss: 0.8558, Validation Accuracy: 0.6837
2025-08-10 07:37:04,044 - Rank 1 - Train Loss: 0.8733, Train Accuracy: 0.6753
2025-08-10 07:37:14,044 - Rank 1 - Validation Loss: 0.8215, Validation Accuracy: 0.6932
2025-08-10 07:39:20,766 - Rank 1 - Train Loss: 0.8552, Train Accuracy: 0.6814
2025-08-10 07:39:31,054 - Rank 1 - Validation Loss: 0.8387, Validation Accuracy: 0.6910
2025-08-10 07:41:37,015 - Rank 1 - Train Loss: 0.8413, Train Accuracy: 0.6862
2025-08-10 07:41:46,457 - Rank 1 - Validation Loss: 0.7879, Validation Accuracy: 0.7053
2025-08-10 07:43:52,432 - Rank 1 - Train Loss: 0.8266, Train Accuracy: 0.6910
2025-08-10 07:44:02,717 - Rank 1 - Validation Loss: 0.7642, Validation Accuracy: 0.7129
2025-08-10 07:46:15,988 - Rank 1 - Train Loss: 0.8096, Train Accuracy: 0.6970
2025-08-10 07:46:30,797 - Rank 1 - Validation Loss: 0.7635, Validation Accuracy: 0.7146
2025-08-10 07:49:41,672 - Rank 1 - Train Loss: 0.7958, Train Accuracy: 0.7012
2025-08-10 07:49:59,489 - Rank 1 - Validation Loss: 0.7441, Validation Accuracy: 0.7205
2025-08-10 07:53:30,820 - Rank 1 - Train Loss: 0.7838, Train Accuracy: 0.7053
2025-08-10 07:53:47,545 - Rank 1 - Validation Loss: 0.7225, Validation Accuracy: 0.7269
