src,tgt
CCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OC)C1CCCCC1,*CCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OC*)C1CCCCC1
NCCCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1)C1CCCCC1,*NCCCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1*)C1CCCCC1
CCCNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)CC1CCCCC1,*CCCNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(*)C1CCCCC1
CNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(NC=O)C1CCCCC1,*CNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(NC(*)=O)C1CCCCC1
c1cc(Cl)ccc1OCC(=O)NCCCCC(=O)NC(C(=O)N1CCCC1)C1CCCCC1,*c1cc(Cl)ccc1OCC(=O)NCCCCC(=O)NC(C(=O)N1CCCC1*)C1CCCCC1
CC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC(=O)N)C1CCCCC1,*CC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC(=O)N*)C1CCCCC1
CCCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1O)C1CCCCC1,*CCCCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1O*)C1CCCCC1
CCNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(N)C1CCCCC1,*CCNC(=O)COc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(N*)C1CCCCC1
CCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC=O)C1CCCCC1,*CCC(=O)NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC(*)=O)C1CCCCC1
CC(C=CCCS)OC(=O)C(NC(=O)C(C)(C)NC(=O)c1cscn1)C(C)C,*CC(C=CCCS)OC(=O)C(NC(=O)C(C)(C)NC(=O)c1csc(*)n1)C(C)C
Cc1nc(C(=O)NC(C)(C)C(=O)NC(C(=O)OCC=CCCS)C(C)C)cs1,*Cc1nc(C(=O)NC(C)(C)C(=O)NC(C(=O)OC(*)C=CCCS)C(C)C)cs1
CNC(=O)CC(C=CCCS)OC(=O)C(NC(=O)C(C)(C)NC=O)C(C)C,*CNC(=O)CC(C=CCCS)OC(=O)C(NC(=O)C(C)(C)NC(*)=O)C(C)C
