src,tgt
C(O)CC(O)CC(O)CC(=O)CC(O)CC(=O)OC(C(C)C=CC=CC=CC=CC=CC=CC=CC(CC1OC(O)CC(O)C1C(=O)NCC[NH+](C)C)OC1OC(C)C(O)C(NC(=O)C[NH+](C)C)C1O)C(C)CCC(O)CC(=O)c1ccc(NC)cc1,*C(O)CC(O)CC(O)CC(=O)CC(O)CC(=O)OC(C(C)C=CC=CC=CC=CC=CC=CC=CC(CC1OC(*)(O)CC(O)C1C(=O)NCC[NH+](C)C)OC1OC(C)C(O)C(NC(=O)C[NH+](C)C)C1O)C(C)CCC(O)CC(=O)c1ccc(NC)cc1
Cc1cccc(CC(NS(=O)(=O)Cc2ccccc2)C(=O)NC(Cc2cccc(CN)c2)C(=O)NCc2ccc(C(N)=[NH2+])cc2)c1,*Cc1cccc(CC(NS(=O)(=O)Cc2ccccc2)C(=O)NC(Cc2cccc(CN*)c2)C(=O)NCc2ccc(C(N)=[NH2+])cc2)c1
CCOCCOCCOCCOc1ccc(N)cc1,*CCOCCOCCOCCOc1ccc(N)cc1*
C(C)=CC(O)C(O)CC1C=CCC(CC(OC)C2(C(CC(OC)C(C)CC(C)C(O)C(C)CCC(=O)C(C)C(OC)C(C)C=CN(C)C=O)OC)CO2)O1,*C(C)=CC(O)C(O)CC1C=CCC(CC(OC)C2(C(CC(OC)C(C)C(*)C(C)C(O)C(C)CCC(=O)C(C)C(OC)C(C)C=CN(C)C=O)OC)CO2)O1
C=CC(=O)OC(C(C)C(CC(OC)C(CO)C(C)OC)OC)C(C)C(O)C(C)CCC(=O)C(C)C(OC)C(C)C=CN(C)C=O,*C=CC(=O)OC(C(C)C(CC(OC)C(CO)C(C*)OC)OC)C(C)C(O)C(C)CCC(=O)C(C)C(OC)C(C)C=CN(C)C=O
C(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCC(N)=O,*C(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(*)CC(N)=O
Oc1cc(CC2c3c(cc(OC)c(OC(=O)C(Br)CC)c3Oc3cc4c(cc3OC)CCN(C)C4)CCN2C)ccc1OC,*Oc1cc(CC2c3c(cc(OC)c(OC(=O)C(Br)CC)c3Oc3cc4c(cc3OC)CCN(C)C4*)CCN2C)ccc1OC
CCC(C)=CC1C(C(O)CC2(C)OC2C)=C(C)CC2C(=O)CC(C)CCCC(C)C(=O)CC(C(C)C)C(=O)CC12C(=O)OC,*CCC(C)=CC1C(C(O)CC2(C)OC2C*)=C(C)CC2C(=O)CC(C)CCCC(C)C(=O)CC(C(C)C)C(=O)CC12C(=O)OC
CCCCCCCOc1ccccc1-c1cnc(OC)n1C,*CCCCCCCOc1ccccc1-c1cnc(OC*)n1C
CCCCCCC(CCCN)NS(=O)(=O)c1ccccc1[N+](=O)[O-],*CCCCCCC(CCCN*)NS(=O)(=O)c1ccccc1[N+](=O)[O-]
