2025-08-10 06:44:21,859 - Rank 6 - Starting training on rank 6
2025-08-10 06:58:59,601 - Rank 6 - Starting training
2025-08-10 06:59:20,073 - Rank 6 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,026 - Rank 6 - Train Loss: 1.6592, Train Accuracy: 0.4850
2025-08-10 07:02:02,211 - Rank 6 - Validation Loss: 1.3364, Validation Accuracy: 0.5511
2025-08-10 07:04:16,312 - Rank 6 - Starting training
2025-08-10 07:04:37,708 - Rank 6 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,022 - Rank 6 - Train Loss: 1.6592, Train Accuracy: 0.4850
2025-08-10 07:07:08,166 - Rank 6 - Validation Loss: 1.3365, Validation Accuracy: 0.5512
2025-08-10 07:09:22,885 - Rank 6 - Train Loss: 1.2917, Train Accuracy: 0.5597
2025-08-10 07:09:33,280 - Rank 6 - Validation Loss: 1.2127, Validation Accuracy: 0.5778
2025-08-10 07:12:04,861 - Rank 6 - Train Loss: 1.1884, Train Accuracy: 0.5852
2025-08-10 07:12:14,978 - Rank 6 - Validation Loss: 1.1455, Validation Accuracy: 0.5968
2025-08-10 07:14:45,588 - Rank 6 - Train Loss: 1.1217, Train Accuracy: 0.6031
2025-08-10 07:14:55,470 - Rank 6 - Validation Loss: 1.0903, Validation Accuracy: 0.6118
2025-08-10 07:17:26,304 - Rank 6 - Train Loss: 1.0722, Train Accuracy: 0.6163
2025-08-10 07:17:36,447 - Rank 6 - Validation Loss: 1.0301, Validation Accuracy: 0.6285
2025-08-10 07:20:10,865 - Rank 6 - Train Loss: 1.0328, Train Accuracy: 0.6273
2025-08-10 07:20:21,096 - Rank 6 - Validation Loss: 0.9952, Validation Accuracy: 0.6386
2025-08-10 07:23:00,471 - Rank 6 - Train Loss: 0.9984, Train Accuracy: 0.6377
2025-08-10 07:23:10,425 - Rank 6 - Validation Loss: 0.9512, Validation Accuracy: 0.6516
2025-08-10 07:26:16,573 - Rank 6 - Train Loss: 0.9664, Train Accuracy: 0.6466
2025-08-10 07:26:26,574 - Rank 6 - Validation Loss: 0.9204, Validation Accuracy: 0.6624
2025-08-10 07:29:30,749 - Rank 6 - Train Loss: 0.9409, Train Accuracy: 0.6545
2025-08-10 07:29:40,671 - Rank 6 - Validation Loss: 0.8874, Validation Accuracy: 0.6729
2025-08-10 07:32:29,063 - Rank 6 - Train Loss: 0.9148, Train Accuracy: 0.6629
2025-08-10 07:32:39,613 - Rank 6 - Validation Loss: 0.8919, Validation Accuracy: 0.6715
2025-08-10 07:34:47,495 - Rank 6 - Train Loss: 0.8949, Train Accuracy: 0.6687
2025-08-10 07:34:58,139 - Rank 6 - Validation Loss: 0.8576, Validation Accuracy: 0.6831
2025-08-10 07:37:04,034 - Rank 6 - Train Loss: 0.8742, Train Accuracy: 0.6758
2025-08-10 07:37:14,329 - Rank 6 - Validation Loss: 0.8232, Validation Accuracy: 0.6932
2025-08-10 07:39:20,766 - Rank 6 - Train Loss: 0.8572, Train Accuracy: 0.6811
2025-08-10 07:39:31,304 - Rank 6 - Validation Loss: 0.8404, Validation Accuracy: 0.6912
2025-08-10 07:41:37,016 - Rank 6 - Train Loss: 0.8395, Train Accuracy: 0.6866
2025-08-10 07:41:47,382 - Rank 6 - Validation Loss: 0.7896, Validation Accuracy: 0.7052
2025-08-10 07:43:52,443 - Rank 6 - Train Loss: 0.8227, Train Accuracy: 0.6926
2025-08-10 07:44:01,373 - Rank 6 - Validation Loss: 0.7661, Validation Accuracy: 0.7125
2025-08-10 07:46:15,978 - Rank 6 - Train Loss: 0.8099, Train Accuracy: 0.6962
2025-08-10 07:46:26,366 - Rank 6 - Validation Loss: 0.7658, Validation Accuracy: 0.7143
2025-08-10 07:49:41,669 - Rank 6 - Train Loss: 0.7962, Train Accuracy: 0.7013
2025-08-10 07:49:51,537 - Rank 6 - Validation Loss: 0.7465, Validation Accuracy: 0.7202
2025-08-10 07:53:30,816 - Rank 6 - Train Loss: 0.7807, Train Accuracy: 0.7064
2025-08-10 07:53:40,844 - Rank 6 - Validation Loss: 0.7253, Validation Accuracy: 0.7258
2025-08-10 07:56:56,603 - Rank 6 - Train Loss: 0.7724, Train Accuracy: 0.7087
